x y ey+ ey-
500 3877.837 147.163 130.837
400 2495.999 108.0010000000002 75.9989999999998
300 1425.938 59.0619999999999 29.938000000000102
200 662.855 55.14499999999998 11.855000000000018
100 186.869 13.131 0.8689999999999998
10 5.492 1.508 0.492
